max_features_requested,effective_vocab_size,n_folds_used,precision_FA_mean,recall_FA_mean,f1_FA_mean
25,13,4,0.060240963855421686,0.25,0.0970873786407767
50,13,4,0.060240963855421686,0.25,0.0970873786407767
100,13,4,0.060240963855421686,0.25,0.0970873786407767
200,13,4,0.060240963855421686,0.25,0.0970873786407767
500,13,4,0.060240963855421686,0.25,0.0970873786407767
full,13,4,0.060240963855421686,0.25,0.0970873786407767
