k,n_folds_used,precision_FA_mean,recall_FA_mean,f1_FA_mean
5,4,0.6448432040455305,0.5685507246376812,0.5994744080950978
10,4,0.565919540229885,0.5030797101449275,0.5273079867577074
20,4,0.4574219416382149,0.3365217391304348,0.3674935412999305
