build_id,gh_project_name,gh_lang,gh_is_pr,tr_status,duration,event_type,tr_tests_run,tr_tests_failed,tr_tests_passed,git_diff_src_churn,git_diff_test_churn,gh_team_size,gh_repo_age,hist_fail_rate,log_snippet,label
243215886,apache/commons-lang,java,True,failed,1009,pull_request,0,0,0,0,0,0,0,0.4,,1
243215886,apache/commons-lang,java,True,failed,1009,pull_request,0,0,0,0,0,0,0,0.5,,1
243215886,apache/commons-lang,java,True,failed,1009,pull_request,0,0,0,0,0,0,0,0.6,,0
243215886,apache/commons-lang,java,True,failed,1009,pull_request,0,0,0,0,0,0,0,0.7,,0
243215886,apache/commons-lang,java,True,failed,1009,pull_request,0,0,0,0,0,0,0,0.4,,1
243215886,apache/commons-lang,java,True,failed,1009,pull_request,0,0,0,0,0,0,0,0.5,,1
243215886,apache/commons-lang,java,True,failed,1009,pull_request,0,0,0,0,0,0,0,0.6,,0
243215886,apache/commons-lang,java,True,failed,1009,pull_request,0,0,0,0,0,0,0,0.7,,0
243215886,apache/commons-lang,java,True,failed,1009,pull_request,0,0,0,0,0,0,0,0.4,,1
243215886,apache/commons-lang,java,True,failed,1009,pull_request,0,0,0,0,0,0,0,0.5,,1
243215886,apache/commons-lang,java,True,failed,1009,pull_request,0,0,0,0,0,0,0,0.6,,0
243215886,apache/commons-lang,java,True,failed,1009,pull_request,0,0,0,0,0,0,0,0.7,,0
243215886,apache/commons-lang,java,True,failed,1009,pull_request,0,0,0,0,0,0,0,0.4,,1
243215886,apache/commons-lang,java,True,failed,1009,pull_request,0,0,0,0,0,0,0,0.5,,1
243215886,apache/commons-lang,java,True,failed,1009,pull_request,0,0,0,0,0,0,0,0.6,,0
243215886,apache/commons-lang,java,True,failed,1009,pull_request,0,0,0,0,0,0,0,0.7,,0
243200763,apache/commons-lang,java,True,errored,96,pull_request,0,0,0,0,0,0,0,0.2,,1
243200763,apache/commons-lang,java,True,errored,96,pull_request,0,0,0,0,0,0,0,0.2,,1
243200763,apache/commons-lang,java,True,errored,96,pull_request,0,0,0,0,0,0,0,0.2,,1
243200763,apache/commons-lang,java,True,errored,96,pull_request,0,0,0,0,0,0,0,0.3,,1
243200763,apache/commons-lang,java,True,errored,96,pull_request,0,0,0,0,0,0,0,0.2,,1
243200763,apache/commons-lang,java,True,errored,96,pull_request,0,0,0,0,0,0,0,0.2,,1
243200763,apache/commons-lang,java,True,errored,96,pull_request,0,0,0,0,0,0,0,0.2,,1
243200763,apache/commons-lang,java,True,errored,96,pull_request,0,0,0,0,0,0,0,0.3,,1
243200763,apache/commons-lang,java,True,errored,96,pull_request,0,0,0,0,0,0,0,0.2,,1
243200763,apache/commons-lang,java,True,errored,96,pull_request,0,0,0,0,0,0,0,0.2,,1
243200763,apache/commons-lang,java,True,errored,96,pull_request,0,0,0,0,0,0,0,0.2,,1
243200763,apache/commons-lang,java,True,errored,96,pull_request,0,0,0,0,0,0,0,0.3,,1
243200763,apache/commons-lang,java,True,errored,96,pull_request,0,0,0,0,0,0,0,0.2,,1
243200763,apache/commons-lang,java,True,errored,96,pull_request,0,0,0,0,0,0,0,0.2,,1
243200763,apache/commons-lang,java,True,errored,96,pull_request,0,0,0,0,0,0,0,0.2,,1
243200763,apache/commons-lang,java,True,errored,96,pull_request,0,0,0,0,0,0,0,0.3,,1
243121599,apache/commons-lang,java,True,failed,1134,pull_request,0,0,0,0,0,0,0,0.4,,1
243121599,apache/commons-lang,java,True,failed,1134,pull_request,0,0,0,0,0,0,0,0.5,,1
243121599,apache/commons-lang,java,True,failed,1134,pull_request,0,0,0,0,0,0,0,0.6,,0
243121599,apache/commons-lang,java,True,failed,1134,pull_request,0,0,0,0,0,0,0,0.7,,0
243121599,apache/commons-lang,java,True,failed,1134,pull_request,0,0,0,0,0,0,0,0.4,,1
243121599,apache/commons-lang,java,True,failed,1134,pull_request,0,0,0,0,0,0,0,0.5,,1
243121599,apache/commons-lang,java,True,failed,1134,pull_request,0,0,0,0,0,0,0,0.6,,0
243121599,apache/commons-lang,java,True,failed,1134,pull_request,0,0,0,0,0,0,0,0.7,,0
243121599,apache/commons-lang,java,True,failed,1134,pull_request,0,0,0,0,0,0,0,0.4,,1
243121599,apache/commons-lang,java,True,failed,1134,pull_request,0,0,0,0,0,0,0,0.5,,1
243121599,apache/commons-lang,java,True,failed,1134,pull_request,0,0,0,0,0,0,0,0.6,,0
243121599,apache/commons-lang,java,True,failed,1134,pull_request,0,0,0,0,0,0,0,0.7,,0
243121599,apache/commons-lang,java,True,failed,1134,pull_request,0,0,0,0,0,0,0,0.4,,1
243121599,apache/commons-lang,java,True,failed,1134,pull_request,0,0,0,0,0,0,0,0.5,,1
243121599,apache/commons-lang,java,True,failed,1134,pull_request,0,0,0,0,0,0,0,0.6,,0
243121599,apache/commons-lang,java,True,failed,1134,pull_request,0,0,0,0,0,0,0,0.7,,0
243121595,apache/commons-lang,java,False,failed,1118,push,0,0,0,0,0,0,0,0.0,,1
243121595,apache/commons-lang,java,False,failed,1118,push,0,0,0,0,0,0,0,0.1,,1
243121595,apache/commons-lang,java,False,failed,1118,push,0,0,0,0,0,0,0,0.2,,1
243121595,apache/commons-lang,java,False,failed,1118,push,0,0,0,0,0,0,0,0.3,,1
243121595,apache/commons-lang,java,False,failed,1118,push,0,0,0,0,0,0,0,0.0,,1
243121595,apache/commons-lang,java,False,failed,1118,push,0,0,0,0,0,0,0,0.1,,1
243121595,apache/commons-lang,java,False,failed,1118,push,0,0,0,0,0,0,0,0.2,,1
243121595,apache/commons-lang,java,False,failed,1118,push,0,0,0,0,0,0,0,0.3,,1
