held_out_project,n_test,f1,precision,recall
mockito/mockito,114,1.0,1.0,1.0
apache/commons-lang,161,0.6618705035971223,0.6571428571428571,0.6666666666666666
apache/commons-math,305,0.58,0.6,0.5612903225806452
ReactiveX/RxJava,134,0.9962546816479401,1.0,0.9925373134328358
apache/httpcomponents-core,69,0.9927007299270073,1.0,0.9855072463768116
FasterXML/jackson-databind,71,0.8514851485148515,0.9555555555555556,0.7678571428571429
apache/commons-io,107,1.0,1.0,1.0
checkstyle/checkstyle,415,0.8529411764705882,0.8787878787878788,0.8285714285714286
