feature,mean_abs_shap
hist_fail_rate_mean,0.3011312561836411
duration,0.10359185031898506
gh_is_pr,0.039701997888248394
tfidf_travis,0.0
tfidf_try,0.0
tfidf_restarting,0.0
tfidf_please,0.0
tfidf_limited,0.0
tfidf_later,0.0
tfidf_job,0.0
tfidf_this,0.0
tfidf_support,0.0
tfidf_restarts,0.0
tfidf_automatic,0.0
tfidf_ci.com.,0.0
