held_out_project,n_test,f1,precision,recall
apache/commons-io,107,1.0,1.0,1.0
mockito/mockito,114,0.972972972972973,1.0,0.9473684210526315
ReactiveX/RxJava,134,0.9924812030075187,1.0,0.9850746268656716
apache/httpcomponents-core,69,0.9852941176470589,1.0,0.9710144927536232
apache/commons-lang,161,0.7516778523489933,0.7,0.8115942028985508
checkstyle/checkstyle,415,0.8453947368421053,0.8771331058020477,0.8158730158730159
apache/commons-math,305,0.7015384615384616,0.6705882352941176,0.7354838709677419
FasterXML/jackson-databind,71,0.8813559322033898,0.8387096774193549,0.9285714285714286
